Design,fitness_value,sorted_fitness
"[[1, 1, 2, 2, 3, 3, 4], [2, 3, 4, 2, 1, 1, 5], [3, 1, 3, 5, 3, 4, 4], [4, 1, 4, 4, 4, 5, 3], [5, 2, 3, 2, 1, 2, 1], [6, 2, 4, 3, 1, 1, 4]]",13.0,8.0
"[[1, 1, 2, 2, 3, 2, 3], [2, 3, 4, 2, 1, 2, 4], [3, 1, 3, 5, 3, 3, 5], [4, 1, 4, 4, 4, 3, 1], [5, 2, 3, 2, 1, 5, 5], [6, 2, 4, 3, 1, 3, 3]]",14.199999999999996,8.0
"[[1, 1, 2, 2, 3, 4, 5], [2, 3, 4, 2, 1, 4, 1], [3, 1, 3, 5, 3, 1, 5], [4, 1, 4, 4, 4, 4, 5], [5, 2, 3, 2, 1, 4, 1], [6, 2, 4, 3, 1, 4, 3]]",15.600000000000001,8.0
"[[1, 1, 2, 2, 3, 4, 4], [2, 3, 4, 2, 1, 2, 3], [3, 1, 3, 5, 3, 4, 3], [4, 1, 4, 4, 4, 2, 1], [5, 2, 3, 2, 1, 5, 1], [6, 2, 4, 3, 1, 1, 2]]",11.399999999999999,8.0
"[[1, 1, 2, 2, 3, 5, 5], [2, 3, 4, 2, 1, 1, 1], [3, 1, 3, 5, 3, 1, 4], [4, 1, 4, 4, 4, 3, 4], [5, 2, 3, 2, 1, 4, 2], [6, 2, 4, 3, 1, 4, 1]]",12.599999999999994,8.0
"[[1, 1, 2, 2, 3, 5, 3], [2, 3, 4, 2, 1, 2, 5], [3, 1, 3, 5, 3, 3, 3], [4, 1, 4, 4, 4, 5, 1], [5, 2, 3, 2, 1, 4, 1], [6, 2, 4, 3, 1, 3, 5]]",15.400000000000006,8.0
"[[1, 1, 2, 2, 3, 4, 3], [2, 3, 4, 2, 1, 4, 5], [3, 1, 3, 5, 3, 1, 3], [4, 1, 4, 4, 4, 4, 3], [5, 2, 3, 2, 1, 1, 2], [6, 2, 4, 3, 1, 1, 2]]",11.200000000000003,8.200000000000003
"[[1, 1, 2, 2, 3, 1, 5], [2, 3, 4, 2, 1, 5, 4], [3, 1, 3, 5, 3, 1, 4], [4, 1, 4, 4, 4, 2, 2], [5, 2, 3, 2, 1, 2, 2], [6, 2, 4, 3, 1, 3, 4]]",11.799999999999997,8.200000000000003
"[[1, 1, 2, 2, 3, 1, 5], [2, 3, 4, 2, 1, 1, 5], [3, 1, 3, 5, 3, 2, 5], [4, 1, 4, 4, 4, 5, 5], [5, 2, 3, 2, 1, 1, 2], [6, 2, 4, 3, 1, 3, 3]]",12.799999999999997,8.200000000000003
"[[1, 1, 2, 2, 3, 4, 4], [2, 3, 4, 2, 1, 5, 5], [3, 1, 3, 5, 3, 2, 3], [4, 1, 4, 4, 4, 2, 4], [5, 2, 3, 2, 1, 5, 5], [6, 2, 4, 3, 1, 1, 2]]",15.600000000000001,8.200000000000003
"[[1, 1, 2, 2, 3, 5, 2], [2, 3, 4, 2, 1, 1, 4], [3, 1, 3, 5, 3, 5, 1], [4, 1, 4, 4, 4, 3, 2], [5, 2, 3, 2, 1, 5, 5], [6, 2, 4, 3, 1, 2, 2]]",14.0,8.200000000000003
"[[1, 1, 2, 2, 3, 4, 2], [2, 3, 4, 2, 1, 4, 3], [3, 1, 3, 5, 3, 5, 2], [4, 1, 4, 4, 4, 5, 5], [5, 2, 3, 2, 1, 2, 5], [6, 2, 4, 3, 1, 2, 1]]",15.400000000000006,8.399999999999999
"[[1, 1, 2, 2, 3, 5, 1], [2, 3, 4, 2, 1, 2, 4], [3, 1, 3, 5, 3, 2, 5], [4, 1, 4, 4, 4, 3, 3], [5, 2, 3, 2, 1, 4, 3], [6, 2, 4, 3, 1, 5, 1]]",14.400000000000006,8.399999999999999
"[[1, 1, 2, 2, 3, 4, 1], [2, 3, 4, 2, 1, 4, 1], [3, 1, 3, 5, 3, 5, 4], [4, 1, 4, 4, 4, 1, 3], [5, 2, 3, 2, 1, 5, 3], [6, 2, 4, 3, 1, 2, 2]]",13.200000000000003,8.400000000000006
"[[1, 1, 2, 2, 3, 2, 1], [2, 3, 4, 2, 1, 2, 3], [3, 1, 3, 5, 3, 5, 1], [4, 1, 4, 4, 4, 3, 4], [5, 2, 3, 2, 1, 1, 1], [6, 2, 4, 3, 1, 2, 2]]",8.799999999999997,8.400000000000006
"[[1, 1, 2, 2, 3, 5, 1], [2, 3, 4, 2, 1, 4, 4], [3, 1, 3, 5, 3, 5, 1], [4, 1, 4, 4, 4, 1, 3], [5, 2, 3, 2, 1, 2, 5], [6, 2, 4, 3, 1, 2, 2]]",12.799999999999997,8.600000000000001
"[[1, 1, 2, 2, 3, 4, 4], [2, 3, 4, 2, 1, 3, 5], [3, 1, 3, 5, 3, 4, 5], [4, 1, 4, 4, 4, 5, 4], [5, 2, 3, 2, 1, 2, 1], [6, 2, 4, 3, 1, 2, 1]]",15.0,8.600000000000001
"[[1, 1, 2, 2, 3, 1, 5], [2, 3, 4, 2, 1, 2, 1], [3, 1, 3, 5, 3, 5, 3], [4, 1, 4, 4, 4, 2, 3], [5, 2, 3, 2, 1, 3, 2], [6, 2, 4, 3, 1, 2, 3]]",10.799999999999997,8.600000000000001
"[[1, 1, 2, 2, 3, 4, 4], [2, 3, 4, 2, 1, 3, 5], [3, 1, 3, 5, 3, 2, 3], [4, 1, 4, 4, 4, 5, 4], [5, 2, 3, 2, 1, 1, 2], [6, 2, 4, 3, 1, 5, 4]]",15.799999999999997,8.600000000000001
"[[1, 1, 2, 2, 3, 5, 5], [2, 3, 4, 2, 1, 5, 3], [3, 1, 3, 5, 3, 2, 3], [4, 1, 4, 4, 4, 1, 4], [5, 2, 3, 2, 1, 1, 1], [6, 2, 4, 3, 1, 3, 1]]",12.0,8.600000000000001
"[[1, 1, 2, 2, 3, 2, 2], [2, 3, 4, 2, 1, 1, 1], [3, 1, 3, 5, 3, 2, 3], [4, 1, 4, 4, 4, 4, 3], [5, 2, 3, 2, 1, 1, 1], [6, 2, 4, 3, 1, 1, 5]]",7.600000000000001,8.600000000000001
"[[1, 1, 2, 2, 3, 2, 5], [2, 3, 4, 2, 1, 2, 1], [3, 1, 3, 5, 3, 5, 1], [4, 1, 4, 4, 4, 5, 2], [5, 2, 3, 2, 1, 1, 1], [6, 2, 4, 3, 1, 1, 5]]",10.600000000000001,8.600000000000001
"[[1, 1, 2, 2, 3, 2, 5], [2, 3, 4, 2, 1, 2, 4], [3, 1, 3, 5, 3, 1, 3], [4, 1, 4, 4, 4, 4, 1], [5, 2, 3, 2, 1, 1, 5], [6, 2, 4, 3, 1, 2, 4]]",11.0,8.799999999999997
"[[1, 1, 2, 2, 3, 5, 3], [2, 3, 4, 2, 1, 4, 4], [3, 1, 3, 5, 3, 3, 5], [4, 1, 4, 4, 4, 3, 2], [5, 2, 3, 2, 1, 4, 2], [6, 2, 4, 3, 1, 4, 2]]",16.0,8.799999999999997
"[[1, 1, 2, 2, 3, 1, 4], [2, 3, 4, 2, 1, 3, 4], [3, 1, 3, 5, 3, 2, 1], [4, 1, 4, 4, 4, 5, 5], [5, 2, 3, 2, 1, 2, 2], [6, 2, 4, 3, 1, 3, 2]]",11.800000000000004,8.799999999999997
"[[1, 1, 2, 2, 3, 2, 2], [2, 3, 4, 2, 1, 4, 4], [3, 1, 3, 5, 3, 2, 5], [4, 1, 4, 4, 4, 5, 5], [5, 2, 3, 2, 1, 5, 5], [6, 2, 4, 3, 1, 3, 4]]",17.6,8.799999999999997
"[[1, 1, 2, 2, 3, 3, 2], [2, 3, 4, 2, 1, 2, 3], [3, 1, 3, 5, 3, 5, 3], [4, 1, 4, 4, 4, 5, 5], [5, 2, 3, 2, 1, 2, 5], [6, 2, 4, 3, 1, 5, 4]]",17.0,8.799999999999997
"[[1, 1, 2, 2, 3, 5, 1], [2, 3, 4, 2, 1, 5, 2], [3, 1, 3, 5, 3, 4, 2], [4, 1, 4, 4, 4, 1, 5], [5, 2, 3, 2, 1, 1, 4], [6, 2, 4, 3, 1, 2, 2]]",12.199999999999996,8.799999999999997
"[[1, 1, 2, 2, 3, 2, 3], [2, 3, 4, 2, 1, 1, 5], [3, 1, 3, 5, 3, 4, 3], [4, 1, 4, 4, 4, 5, 3], [5, 2, 3, 2, 1, 4, 1], [6, 2, 4, 3, 1, 4, 2]]",13.799999999999997,8.799999999999997
"[[1, 1, 2, 2, 3, 2, 5], [2, 3, 4, 2, 1, 1, 1], [3, 1, 3, 5, 3, 1, 2], [4, 1, 4, 4, 4, 1, 3], [5, 2, 3, 2, 1, 5, 1], [6, 2, 4, 3, 1, 5, 2]]",9.600000000000001,8.799999999999997
"[[1, 1, 2, 2, 3, 4, 4], [2, 3, 4, 2, 1, 5, 4], [3, 1, 3, 5, 3, 2, 4], [4, 1, 4, 4, 4, 2, 3], [5, 2, 3, 2, 1, 2, 3], [6, 2, 4, 3, 1, 4, 4]]",15.200000000000003,8.799999999999997
"[[1, 1, 2, 2, 3, 5, 3], [2, 3, 4, 2, 1, 5, 4], [3, 1, 3, 5, 3, 5, 2], [4, 1, 4, 4, 4, 5, 4], [5, 2, 3, 2, 1, 2, 2], [6, 2, 4, 3, 1, 1, 5]]",16.799999999999997,8.799999999999997
"[[1, 1, 2, 2, 3, 2, 4], [2, 3, 4, 2, 1, 3, 5], [3, 1, 3, 5, 3, 1, 4], [4, 1, 4, 4, 4, 2, 5], [5, 2, 3, 2, 1, 5, 5], [6, 2, 4, 3, 1, 3, 3]]",15.0,8.800000000000004
"[[1, 1, 2, 2, 3, 1, 1], [2, 3, 4, 2, 1, 1, 4], [3, 1, 3, 5, 3, 3, 3], [4, 1, 4, 4, 4, 3, 2], [5, 2, 3, 2, 1, 5, 3], [6, 2, 4, 3, 1, 3, 4]]",11.400000000000006,8.800000000000004
"[[1, 1, 2, 2, 3, 5, 2], [2, 3, 4, 2, 1, 5, 1], [3, 1, 3, 5, 3, 1, 5], [4, 1, 4, 4, 4, 3, 2], [5, 2, 3, 2, 1, 2, 5], [6, 2, 4, 3, 1, 1, 1]]",11.600000000000001,8.800000000000004
"[[1, 1, 2, 2, 3, 2, 4], [2, 3, 4, 2, 1, 2, 2], [3, 1, 3, 5, 3, 1, 4], [4, 1, 4, 4, 4, 4, 2], [5, 2, 3, 2, 1, 5, 3], [6, 2, 4, 3, 1, 3, 1]]",11.600000000000001,8.800000000000004
"[[1, 1, 2, 2, 3, 3, 2], [2, 3, 4, 2, 1, 5, 1], [3, 1, 3, 5, 3, 5, 3], [4, 1, 4, 4, 4, 5, 2], [5, 2, 3, 2, 1, 3, 3], [6, 2, 4, 3, 1, 5, 5]]",17.0,9.0
"[[1, 1, 2, 2, 3, 1, 1], [2, 3, 4, 2, 1, 2, 3], [3, 1, 3, 5, 3, 2, 1], [4, 1, 4, 4, 4, 4, 3], [5, 2, 3, 2, 1, 1, 3], [6, 2, 4, 3, 1, 5, 5]]",10.399999999999999,9.0
